sign_id_wordnet,sign_id_original,language,origin,video,links,gloss
dgs.13141,13141,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3750305_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13141,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13141_de.html',GRUPPE1A^
dgs.13143,13143,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13143.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13143,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13143_de.html',STECKEN1^
dgs.13144,13144,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3867178_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13144,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13144_de.html',TECHNIK1^
dgs.13145,13145,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3432381_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13145,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13145_de.html',STROM5A^
dgs.13149,13149,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13149.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13149,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13149_de.html',MATERIAL2A^
dgs.13150,13150,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13150.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13150,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13150_de.html',MISCHEN4^
dgs.13151,13151,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13151.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13151,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13151_de.html',UNTERSCHIED1C^
dgs.13152,13152,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3478871_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13152,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13152_de.html',UNTERSCHIED3^
dgs.13155,13155,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13155.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13155,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13155_de.html',DAMPF1A^
dgs.13156,13156,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13156.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13156,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13156_de.html',RÜHREN1^
