sign_id_wordnet,sign_id_original,language,origin,video,links,gloss
bsl.2936,2936,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CA/CAN.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/can-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2936',
bsl.2948,2948,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CA/CARDIFF.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/CARDIFF.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2948',
bsl.2949,2949,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CA/CARDIFF2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/CARDIFF02.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2949',
bsl.2950,2950,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CA/CARDIFF3.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/CARDIFF03.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/2950',
bsl.2996,2996,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CH/CHEF.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/chef-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/2996',
bsl.3001,3001,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CH/CHESTER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/CHESTER.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3001',
bsl.3024,3024,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CL/CLIFF.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/cliff-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3024',
bsl.3088,3088,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CO/CORNWALL.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/CORNWALL.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3088',
bsl.3089,3089,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CO/COTTAGE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/cottage-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3089',
bsl.3097,3097,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CO/COUSIN.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/cousin-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3097',
